Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Close,Volume,Returns,excess_return
1990-02-01,1.11,1.15,0.65,-0.04,-0.61,0.57,331.8900146484375,2961970000,0.850279135448318,0.28027913544831806
1990-03-01,1.83,1.59,-2.9,1.99,-0.94,0.64,339.94000244140625,3283280000,2.3965505779727976,1.7565505779727975
1990-04-01,-3.36,-0.35,-2.57,1.78,-1.0,0.69,330.79998779296875,2801220000,-2.725521238308934,-3.415521238308934
1990-05-01,8.44,-2.41,-3.89,1.68,-1.63,0.68,361.2300109863281,3596680000,8.800097873791163,8.120097873791163
1990-06-01,-1.09,1.31,-2.0,-0.99,-0.39,0.63,358.0199890136719,3226280000,-0.8926084910209643,-1.5226084910209643
1990-07-01,-1.9,-3.15,-0.06,-0.1,3.21,0.68,356.1499938964844,3373540000,-0.5236846788815326,-1.2036846788815327
1990-08-01,-10.13,-3.79,1.56,-0.48,2.99,0.66,322.55999755859375,4020730000,-9.906281541277137,-10.566281541277137
1990-09-01,-6.11,-3.72,0.59,0.03,3.62,0.6,306.04998779296875,2687280000,-5.254071046276891,-5.854071046276891
1990-10-01,-1.91,-5.06,0.08,3.17,-0.25,0.68,304.0,3671900000,-0.6720746005114605,-1.3520746005114606
1990-11-01,6.35,0.02,-2.97,0.58,-4.71,0.57,322.2200012207031,3149770000,5.820684444503389,5.2506844445033884
1990-12-01,2.48,0.6,-1.57,2.66,-1.98,0.6,330.2200012207031,3116830000,2.4524556849066763,1.8524556849066762
1991-01-01,4.69,3.87,-1.48,1.34,-4.07,0.52,343.92999267578125,3660240000,4.067902429874777,3.5479024298747768
1991-02-01,7.21,4.02,-0.62,-0.06,-0.34,0.48,367.07000732421875,4303170000,6.511445851577625,6.031445851577624
1991-03-01,2.67,3.81,-1.3,-0.52,-0.99,0.44,375.2200012207031,3927920000,2.195993835391806,1.755993835391806
1991-04-01,-0.29,0.35,1.49,0.67,0.81,0.53,375.3399963378906,4017200000,0.03197482375830989,-0.4980251762416901
1991-05-01,3.66,0.14,-0.52,2.07,-2.36,0.47,389.8299865722656,3739700000,3.7878440105439655,3.3178440105439657
1991-06-01,-4.94,0.3,1.08,1.75,0.68,0.42,371.1600036621094,3258730000,-4.907746586014916,-5.327746586014916
1991-07-01,4.24,-1.0,-1.3,1.6,-1.44,0.49,387.80999755859375,3481570000,4.388227631696101,3.898227631696101
1991-08-01,2.32,1.42,-0.79,0.85,-0.32,0.46,395.42999267578125,3713820000,1.9458239201722227,1.4858239201722228
